prova,local,link,data
SOUL CARIOCA - QUINTA DA BOA VISTA 2017,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/144;,2017-NOV-26
CORRIDA E ROLLER DO TÚNEL,"NITERÓI, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/225;,2018-MAR-18
CIRCUITO PELO VERDE - ETAPA 3,"AVARÉ, SP",https://www.chronomax.com.br/index.php/Maxraceresults/dados/303;,2018-JUN-24
1ª OAB CASCAVEL RUN,"Cascavel, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/329;,2018-JUL-21
VALVERDE RUNNER 2018,"Rio de Janeiro, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/326;,2018-AGO-19
CORRIDA DE ANIVERSÁRIO DE 71 ANOS DE NILÓPOLIS,"Nilópolis, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/322;,2018-AGO-05
FALA MENOS E CORRE MAIS - ETAPA LAGOA,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/223;,2018-FEV-25
UNIMED NIGHT RUN APUCARANA,"APUCARANA, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/234;,2018-ABR-14
MEIA DO PORTO 2018,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/248;,2018-MAI-13
CORRIDA PELO VERDE - MOGI DAS CRUZES,"MOGI DAS CRUZES, SP",https://www.chronomax.com.br/index.php/Maxraceresults/dados/352;,2018-SET-02
35ª CORRIDA INTEGRAÇÃO CAMPINAS,"CAMPINAS, SP",https://www.chronomax.com.br/index.php/Maxraceresults/dados/393;,2018-SET-23
4ª CORRIDA DO CIRCUITO DE PASSO FUNDO 2017,"PASSO FUNDO, RS",https://www.chronomax.com.br/index.php/Maxraceresults/dados/53;,2017-NOV-25
25ª CORRIDA E CAMINHADA  PELO CÉLIO DE BARROS,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/226;,2018-MAR-18
CORRIDA LANDIS+GYR 2018,"CURITIBA, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/275;,2018-MAI-11
IV FAMILY WINTER RACE FISK CIANORTE,"CIANORTE, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/304;,2018-JUN-24
FALA MENOS E CORRE MAIS - DESAFIO 2018,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/287;,2018-JUL-15
CORRIDA NAVEGARUN 2018,"NAVEGANTES, SC",https://www.chronomax.com.br/index.php/Maxraceresults/dados/328;,2018-AGO-19
UNISPORT RUN 6+6K,"Teresópolis, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/323;,2018-AGO-05
CIRCUITO SAÚDE - ETAPA ARARAQUARA,"ARARAQUARA, SP",https://www.chronomax.com.br/index.php/Maxraceresults/dados/256;,2018-ABR-08
IX CORRIDA AMIGOS DE MEDIANEIRA,"MEDIANEIRA, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/357;,2018-SET-02
MEIA MARATONA DE NITERÓI 2018,"Niterói, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/364;,2018-SET-16
CAMINHADA E CORRIDA 5KM BRF - RIO VERDE,"RIO VERDE, GO",https://www.chronomax.com.br/index.php/Maxraceresults/dados/340;,2018-SET-30
XC RUN BUZIOS 2018,"Armação de Búzios, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/375;,2018-OUT-20
Corrida e Caminhada de Primavera Porto Bracuhy,"Angra dos Reis, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/434;,2018-NOV-17
4ª CORRIDA RUSTICA DE LOANDA,"LOANDA, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/409;,2018-NOV-04
MUSIC RUN FEST 2017,"NITERÓI, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/145;,2017-NOV-25
JOGOS CARIOCAS DE VERÃO 2018 - Biathlon,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/236;,2018-MAR-18
CAMPEONATO CAPIXABA DE CORRIDA DE RUA - ETAPA 1,"VITÓRIA, ES",https://www.chronomax.com.br/index.php/Maxraceresults/dados/270;,2018-MAI-06
