prova,local,data,link
SUMMER 48K 2023,"CAPÃO DA CANOA, RS",2023-12-02,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2375/summer_48k.clax;
NIGHT RUN UMUARAMA 2023,"UMUARAMA, PR",2023-11-18,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2924/night_run_umuarama.clax;
DESAFIO BRAVES MUD RACE 2023,"SÃO JOSÉ DOS PINHAIS, SP",2023-11-25,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2897/desafio_braves_mud_race.clax;
1ª CORRIDINHA CHRONOMAX,"SÃO PAULO, SP",2022-03-09,https://www.chronomax.com.br/resultados/g-live.html?f=2022/5001/corridinhas_chx_1.clax;
TRANSFORMERS RUN,"SÃO PAULO, SP",2022-05-22,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2087/transformers_run.clax;
9° DESAFIO RIVELLI,"BARBACENA, MG",2022-08-07,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2014/desafio_rivelli.clax;
BIMBO GLOBAL RACE,"SÃO PAULO, SP",2022-09-25,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2256/global_energy_sp.clax;
SICREDI NIGHT RUN  - 6º EDIÇÃO,"TEUTÔNIA, RS",2022-11-05,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2129/sicredi_night_run.clax;
SÃO GARRAFA 2022,"NITERÓI, RJ",2022-12-11,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1236;
XTERRA - ILHA GRANDE - RJ,"RIO DE JANEIRO , RJ",2023-03-11,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2444/xterra_ilha_grande.clax;
DESAFIO DE RUA CAPAL 2023,"ARAPOTI, PR",2023-05-01,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2554/desafio_capal.clax;
3ª ALVOBIKE - ALVORADA DO SUL - 2023,,2023-08-06,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2715/3_alvobike.clax;
RAINHA DO MAR - RJ 2022,"RIO DE JANEIRO, RJ",2022-02-06,https://www.chronomax.com.br/index.php/Maxraceresults/dados/915;
CIRCUITO CAPIXABA DE MANTANHAS - MATILDE 2022,"ALFREDO NEVES, ES",2022-04-10,https://www.chronomax.com.br/index.php/Maxraceresults/dados/985;
VENUS SP 2022,"SÃO PAULO, SP",2022-05-29,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1861/venus_sp.clax;
CORRIDA ITALIANORIO 2022,"RIO DE JANEIRO, RJ",2022-06-05,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1034;
CIRCUITO DE CORRIDAS FECAM 2022 - ETAPA 3,"PIQUIRIVAÍ, PR",2022-08-28,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1971/circuito_fecam_integrado.clax;
CIRCUITO LIGHT RIO ANTIGO 2022 - ETAPA CINELÂNDIA,"RIO DE JANEIRO, RJ",2022-10-16,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1184;
TRICOLOR RUN,"SÃO PAULO, SP",2022-12-04,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2325/tricolor_run.clax;
2ª CORRIDA DO DISTRITO DE VIDIGAL 2023 - CIANORTE,"CIANORTE, PR",2023-06-04,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2114/corrida_distrito_vidigal.clax;
BIMBO GLOBAL RACE - SÃO PAULO - 2023,"SÃO PAULO, SP",2023-09-24,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2697/bimbo_global_race_sp.clax;
VENUS RUN - SÃO PAULO - 2023,"SÃO PAULO, SP",2023-10-01,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2509/venus_run_sp.clax;
CIRCUITO CORRIDA INCLUSIVA IV - ETAPA PAULÍNIA,,2022-02-27,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1887/corrida_inclusiva_paulinia.clax;
CIRCUITO WINE RUN E BIKE,"ARMAÇÃO DE BÚZIOS, RJ",2022-05-21,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1030;
CIRCUITO DE CORRIDAS FECAM 2022 - ETAPA 2,"CAMPO MOURÃO, PR",2022-06-25,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1970/fecam_et2.clax;
CENTAURO REVEZA ADIDAS - RJ,"RIO DE JANEIRO, RJ",2022-10-09,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2285/centauro_reveza_rj.clax;
CORRIDA 25º BPM UMUARAMA,"UMUARAMA, PR",2022-11-20,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2291/corrida_25_bpm.clax;
XTERRA ILHA GRANDE - STORM SWIM,"ILHA GRANDE, RJ",2023-03-11,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2444/xterra_ilha_grande_storm.clax;
SEVEN RUN - 2023,"SÃO PAULO, SP",2023-04-30,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2503/seven_run_sp.clax;
DESAFIO TUPINAMBÁ 2023,"NITERÓI, RJ",2023-08-06,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1484;
CORRIDA DO 25º BPM - UMUARAMA - PR - 2023,"UMUARAMA, PR",2023-08-20,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2645/corrida_25_bpm_umuarama.clax;
NIGHT RUN - ETAPA 1 - FOR,"FORTALEZA, CE",2023-10-21,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1535;
CIRCUITO DA FAMÍLIA - ETAPA CARNAVAL 2022,"RIO DE JANEIRO, RJ",2022-04-10,https://www.chronomax.com.br/index.php/Maxraceresults/dados/987;
PARADISE ADVENTURE RACE 2022,"ARMAÇÃO DE BUZIOS, ",2022-05-15,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1027;
CORRIDA DISTRITO DE VIDIGAL 5KM 2022,"CIANORTE, PR",2022-06-05,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2112/corrida_vidigal.clax;
MARATONA INTERNACIONAL DE FLORIPA MICHELOB ULTRA,"FLORIANOPOLIS, SC",2022-08-27,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2194/maratona_int_floripa.clax;
CORRIDA DO CHOQUE 2023,"RIO DE JANEIRO, RJ",2023-06-04,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1420;
BIMBO GLOBAL RACE 2023 - RIO DE JANEIRO,"RIO DE JANEIRO , RJ",2023-09-24,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2698/bimbo_global_race_rj.clax;
BSB CITY HALF MARATHON 2023,"BRASÍLIA, DF",2023-11-12,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2512/bsb_city_half_marathon.clax;
POA DAY RUN - ETAPA 3 - 2023,"PORTO ALEGRE, RS",2023-11-19,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2370/poa_day_run.clax;
NEO RUNNING - VILA LOBOS,"SÃO PAULO, SP",2022-02-27,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1897/neo_running_vl.clax;
11ª CORRIDA DO IMIGRANTE - SANTA TERESA RUNNER,"SANTA TERESA, ES",2022-06-19,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1043;
