id_evento,nome,data,cidade,estado,tipo_evento,evento_terceiro,organizador,id_organizador
36283,I Corrida da Universidade Federal do Amapá - Unifap,2019-03-03 00:00:00,Macap&aacute;,AP,Corrida de Rua,1,,0
36282,Fala Menos e Corre Mais - Etapa Recreio - 2019,2019-04-14 00:00:00,Rio de Janeiro,RJ,Corrida de Rua,1,,0
36284,5ª Corrida do Sindicato dos Contabilistas 2019,2019-04-14 00:00:00,Taubat&eacute;,SP,Corrida de Rua,1,,0
36285,Maratona Internacional de Floripa 2019,2019-08-25 00:00:00,Florian&oacute;polis,SC,Corrida de Rua,1,,0
36280,2º Corrida da Conscientização do Autismo,2019-03-31 00:00:00,Salto,SP,Corrida de Rua,1,,0
36301,13º Circuito de Sprint Triathlon SANTA CECILIA TV - Guarujá - 3° Etapa,2019-06-16 00:00:00,Guaruj&aacute;,SP,Triathlon,1,,0
36302,13º Circuito de Sprint Triathlon SANTA CECILIA TV - Guarujá - 4° Etapa,2019-09-15 00:00:00,Guaruj&aacute;,SP,Triathlon,1,,0
36279,13º Circuito de Sprint Triathlon Santa Cecília TV - 1ª Etapa,2019-03-24 00:00:00,Guaruj&aacute;,SP,Triathlon,1,,0
36281,3ª Corrida e Caminhada Apae de Praia Grande,2019-03-31 00:00:00,Praia Grande,SP,Corrida de Rua,1,,0
36300,13º Circuito de Sprint Triathlon SANTA CECILIA TV - Guarujá - 2° Etapa,2019-05-05 00:00:00,Guaruj&aacute;,SP,Triathlon,1,,0
36303,13º Circuito de Sprint Triathlon SANTA CECILIA TV - Guarujá - 5° Etapa,2019-11-03 00:00:00,Guaruj&aacute;,SP,Triathlon,1,,0
36270,Circuito TERRA X3 - 1º Etapa,2019-02-23 00:00:00,Serra Negra,SP,Trail Run,1,,0
36277,Circuito TERRA X3 - 3º Etapa,2019-09-28 00:00:00,Mogi Mirim,SP,Corrida de Montanha,1,,0
36259,Corrida da Fantasia,2019-03-03 00:00:00,Balne&aacute;rio Cambori&uacute;,SC,Corrida de Rua,1,,0
36260,Circuito Adrenalina de Corridas de rua - Adrena Run - Etapa São Paulo,2019-04-21 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,1,,0
36262,12ª Meia Maratona das Cataratas – Troféu 80 anos do Parque Nacional do Iguaçu,2019-06-02 00:00:00,Foz do Igua&ccedil;u,PR,Corrida de Rua,1,,0
36263,Circuito Netuno de Travessias - 1ª Etapa 2019,2019-04-28 00:00:00,S&atilde;o Vicente,SP,Travessia,1,,0
36264,Circuito Netuno de Travessias - 2ª Etapa 2019,2019-05-26 00:00:00,S&atilde;o Vicente,SP,Travessia,1,,0
36265,Circuito Netuno de Travessias - 3ª Etapa 2019,2019-09-29 00:00:00,S&atilde;o Vicente,SP,Travessia,1,,0
36266,Circuito Netuno de Travessias - 4ª Etapa 2019,2019-10-20 00:00:00,S&atilde;o Vicente,SP,Travessia,1,,0
36267,Circuito Netuno de Travessias - 5ª Etapa 2019,2019-12-22 00:00:00,S&atilde;o Vicente,SP,Travessia,1,,0
36272,Torneio Rosa,2019-03-30 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,1,,0
36273,Torneio Azul,2019-03-30 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,1,,0
36274,Corrida RustiCão,2019-03-10 00:00:00,S&atilde;o Bernardo do Campo,SP,Corrida de Rua,1,,0
36275,Corrida RustiCão,2019-04-07 00:00:00,S&atilde;o Bernardo do Campo,SP,Corrida de Rua,1,,0
36276,Circuito TERRA X3 - 2º Etapa,2019-06-15 00:00:00,Itapira,SP,Corrida de Montanha,1,,0
